ParID,Load,LoadOrder,Practice,nTrials,nAcc,pAcc,nCor,pCor,meanRTcor,medRTcor,nFA,pFA,nMiss,pMiss,BalAcc
25,B1,2,Y,60,53,0.883333333,11,0.733333333,0.751841785,0.771154412,3,0.066666667,4,0.266666667,0.833333333
25,B2,1,N,60,50,0.833333333,7,0.466666667,0.865185243,0.83962311,2,0.044444444,8,0.533333333,0.711111111
26,B1,2,N,60,42,0.7,13,0.866666667,0.532953154,0.5349795,16,0.355555556,2,0.133333333,0.755555556
26,B2,1,Y,60,40,0.666666667,13,0.866666667,0.653063231,0.6039103,18,0.4,2,0.133333333,0.733333333
27,B1,1,Y,60,41,0.683333333,11,0.733333333,0.657023009,0.6585236,15,0.333333333,4,0.266666667,0.7
27,B2,2,N,60,47,0.783333333,14,0.933333333,0.670340671,0.668848,12,0.266666667,1,0.066666667,0.833333333
28,B1,2,N,60,46,0.766666667,6,0.4,0.723806217,0.71839205,5,0.111111111,9,0.6,0.644444444
28,B2,1,Y,60,35,0.583333333,8,0.533333333,0.59515065,0.57443665,18,0.4,7,0.466666667,0.566666667
29,B1,1,Y,60,43,0.716666667,14,0.933333333,0.4674383,0.46564705,16,0.355555556,1,0.066666667,0.788888889
29,B2,2,N,60,38,0.633333333,14,0.933333333,0.608469671,0.5784581,21,0.466666667,1,0.066666667,0.733333333
30,B1,1,Y,60,57,0.95,13,0.866666667,0.561347831,0.5835508,1,0.022222222,2,0.133333333,0.922222222
30,B2,2,N,60,49,0.816666667,6,0.4,0.656156583,0.68288365,2,0.044444444,9,0.6,0.677777778
31,B1,2,N,60,58,0.966666667,14,0.933333333,0.614119722,0.594834518,1,0.022222222,1,0.066666667,0.955555556
31,B2,1,Y,60,53,0.883333333,10,0.666666667,0.571725591,0.576397023,2,0.044444444,5,0.333333333,0.811111111
32,B1,1,Y,60,56,0.933333333,13,0.866666667,0.434210115,0.4119016,2,0.044444444,2,0.133333333,0.911111111
32,B2,2,Y,60,51,0.85,10,0.666666667,0.53602495,0.50743545,4,0.088888889,5,0.333333333,0.788888889
33,B1,1,Y,60,57,0.95,13,0.866666667,0.747236095,0.71818743,1,0.022222222,2,0.133333333,0.922222222
33,B2,2,Y,60,50,0.833333333,7,0.466666667,0.727621659,0.705635361,2,0.044444444,8,0.533333333,0.711111111
34,B1,2,N,60,49,0.816666667,13,0.866666667,0.583281938,0.504266,9,0.2,2,0.133333333,0.833333333
34,B2,1,Y,60,37,0.616666667,13,0.866666667,0.621290346,0.5924855,21,0.466666667,2,0.133333333,0.7
35,B1,1,Y,60,58,0.966666667,14,0.933333333,0.536630845,0.524617738,1,0.022222222,1,0.066666667,0.955555556
35,B2,2,Y,60,52,0.866666667,9,0.6,0.561509016,0.554169933,2,0.044444444,6,0.4,0.777777778
36,B1,1,Y,60,50,0.833333333,6,0.4,0.500957959,0.443498118,1,0.022222222,9,0.6,0.688888889
